,processo,codigo,descricao,materia_prima,quantidade
235,Intermed.,032745,ALÇA - [TRAVA DE BASCULAMENTO FA4FB],"112458 - ACO TREF. RED. SAE-1020 - 3/8""",28.0
236,Intermed.,033612,ARRUELA [ESPAÇADOR - CBH M18],"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",12.0
237,Intermed.,033889,REFORÇO INTERIOR [CONJ SUP FRONTAL - CBH],"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",24.0
238,Intermed.,034790,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]","112434 - ACO TREF. RED. SAE-1020 - 3/4""",200.0
239,Intermed.,409820,PRENDEDOR DO TUBO [CBH/CBHM],"120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",40.0
240,Intermed.,410214,"PORTA ALAV COMANDO - ICAM A3,5","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
241,Intermed.,410718,"LUVA ENGATE FURO 1""  (M98)F4/6",126706 - AÇO CHATO LAM 5/8 X 2.1/2 SAE-1020,4.0
242,Intermed.,414426,"PORTA TRAVA RE  FA3,5FBS","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
243,Intermed.,418894,LUVA UNIAO - ICAM (M98) F4/,"126226 - AÇO CHATO LAM 5/8 X 3"" SAE-1020",4.0
244,Intermed.,427986,CORPO VARAO FRENAGEM   5000  CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",8.0
245,Intermed.,428360,ELO CORRENTE COMPLEM-CARR C2,226105 - CORRENTE ELO 3/16 F. POLIDO,8.0
246,Intermed.,428383,CORRENTE TENSOR 855 - CARROC,226105 - CORRENTE ELO 3/16 F. POLIDO,4.0
247,Intermed.,428395,CORRENTE/PORTA CORR 995-CARROC,226105 - CORRENTE ELO 3/16 F. POLIDO,4.0
248,Intermed.,436884,COMPLEM EXCENT - EIXO TRAS F4C,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
249,Intermed.,441480,SUPORTE ENGATE ICAM (M98) FA/CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",24.0
250,Intermed.,444698,PINO COMPLEM EIXO-E TRAS  F4CC,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",8.0
251,Intermed.,445885,PINO ENG ICAM (M98)   CARR,"112150 - ACO TREF. RED. SAE-1045 - 1""",28.0
252,Intermed.,457000,TENSOR CORRENTE - CORROC  CAR,"112501 - ACO TREF. RED. SAE-1020 - 5/16""",4.0
253,Intermed.,459690,FECHAM DIANTEIRO ICAM (M98) FA/CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",24.0
254,Intermed.,464855,LUVA ENGATE    - CHASSI    CBH,"126755 - AÇO CHATO LAM 1"" X 3"" SAE-1020",4.0
255,Intermed.,464880,BUCHA EMBOLO - CHASSI CBHM/ICAM FA,"134144 - TUBO SCHEDULLE 80 - 2"" C/C",24.0
256,Intermed.,466724,EMBOLO COM FREIO - CBHM,110346 - ACO LAMINADO RED 2        1020,4.0
257,Intermed.,466815,CORPO VARAO ACION FREIO (5000) - CBH,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",4.0
258,Intermed.,490313,REFORÇO TRAVA T TRAS -  ACESS  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",52.0
259,Içamento,025071,BUCHA EMBOLO - IÇAMENTO F4/F6 (NOV/12...),"134170 - TUBO SCHEDULLE 80 - 1.1/2""",3.0
260,Içamento,025614,HASTE TRACAO MENOR-ICAM MAIOR F4/F6/CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
261,Içamento,418377,BUCHA ICAMENTO FA4,134855 - TUBO     1           DIN 2440,6.0
262,Içamento,446282,TRANSV MAIOR - ICAM  (M98)F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",3.0
263,Içamento,446312,TRANSV MENOR - ICAM  (M98)F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",3.0
264,Içamento,468393,FECHAM COMPL - ICAM  (M98)F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",6.0
265,Içamento,468540,FECHAM FRONTAL - ICAM (M98) F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",6.0
266,Içamento,480230,HASTE TRACAO MENOR-ICAM   F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
267,Içamento,480307,HASTE TRACAO MAIOR-ICAM   F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",1.0
268,Içamento,481439,HASTE TRACAO MAIOR - ICAM MAIOR    FTC/CBHM 02 EIXOS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
269,Lateral,018338,ENGATE S/TRAVA -  GRADES  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",118.0
270,Lateral,025955,"CORPO FECHAM LATERAL S4,0M","120258 - CHAPA FQ #13 (1.20 x 4,00m) 1010",2.0
271,Lateral,026453,FECHAM LATERAL GRADE 45 cm,"120273 - CHAPA FQ  3,75mm. SAE-1006",4.0
272,Lateral,030375,FIXADOR LAT INFERIOR - TAMPA LATERAL - CBH (M17),"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",62.0
273,Lateral,030376,FIXADOR CHAPA LAT SUP - TAMPA LATERAL - CBH (M17),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",48.0
274,Lateral,030451,FECHAM LAT GRADE M17 - TAMPA LATERAL (M17) CBH,"120273 - CHAPA FQ  3,75mm. SAE-1006",43.0
275,Lateral,030553,CORPO DA TAMPA LATERAL M17 - TAMPA LATERAL (M17) CBH 6,"120134 - BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",4.0
276,Lateral,030751,CORPO DA TAMPA LATERAL M17 - TAMPA LATERAL (M17) CBH 4,"120133 - CHAPA FQ #14 (1,20 x 5,60m) 1010",20.0
277,Lateral,030991,"LONGARINA ESTRUTURA DA GRADE LAT. - S4,0MD",134060 - TUBO RET  50 X 30 X 2.00MM TAM. 6 METROS,4.0
278,Lateral,030993,"ENGATE GRADE - ESTRUTURA GRADE TRASEIRA - S3,2/4,0MD","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",10.0
279,Lateral,031018,"COLUNA LATERAL ALT 45- ESTRUTURA GRADE TRASEIRA/LATERAL - S3,2/4,0MD","120255 - CHAPA FQ #13 (1,20 x 3,51m) 1010",10.0
280,Lateral,031038,"APOIO DA CORRENTE - LATERAL S4,0M","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
281,Lateral,031060,"FECHAMENTO DA GRADE LATERAL - ALT 45 - S3,20/4,00MD","120273 - CHAPA FQ  3,75mm. SAE-1006",4.0
282,Lateral,031217,FECHAM. SUP. FUEIRO - FUEIRO DIANT. SUPERIOR - CBH M18,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",12.0
283,Lateral,031237,CHAPEAMENTO DO FUEIRO M18 - FUEIRO DIANTEIRO SUPERIOR - CBH (M18),"120273 - CHAPA FQ  3,75mm. SAE-1006",12.0
