Recurso,Peca,Qtde,Etapa,LEAD TIME,Código,Célula,flag peça,Etapa2,Etapa3,Etapa4,Etapa5,Etapa6
031544,"Tampa Tras C/ ABA e GANCHO Lateral Cafeeira 1,10",1,Montagem,30,031544,LATERAL,1,Pintura,,,COLORIDO,
031547,Chassi 6000 Cafeeira 6000 SC,1,Montagem,30,031547,CHASSI,1,Pintura,Solda,,CINZA,
031548,Cabeção C/F,1,Montagem,30,031548,IÇAMENTO,1,,,,,
031586,EIXO BALANCIM SIMPLES RD F6 BAG M19,1,Montagem,30,031586,EIXO SIMPLES,1,,,,,
031591,EIXO BALANCIM COMPLETO SS RD F6 BAG M19,1,Montagem,30,031591,EIXO COMPLETO,1,Pintura,,,CINZA,
031593,EIXO DIANTEIRO SIMPLES SS F6 BAG M19,1,Montagem,30,031592,EIXO SIMPLES,1,,,,,
031593,EIXO DIANT COMPL SS F6 BAG M19,1,Montagem,30,031593,EIXO COMPLETO,1,Pintura,,,CINZA,
031593,CUBO 5000 SS,2,Montagem,30,222402,CUBO DE RODA,1,,,,,
031723,"CBH 5,0 - U.G/Gran/Forr",1,Montagem,30,031723,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
031737,Suporte Tandem 4 ton,1,Montagem,30,031737,EIXO SIMPLES,1,Pintura,,,CINZA,
031755,Suporte Tandem 6 ton,1,Montagem,30,031755,EIXO SIMPLES,1,Pintura,,,CINZA,
031776,CORRENTE 1 ELO,1,Montagem,30,428360,ESTAMPARIA,1,,,,,
031776,Suporte Tandem 4 ton C/ FREIO ,1,Montagem,30,031776,EIXO SIMPLES,1,Pintura,,,CINZA,
031777,CORRENTE 1 ELO,1,Montagem,30,428360,ESTAMPARIA,1,,,,,
031777,Suporte Tandem 6 ton C/ FREIO ,1,Montagem,30,031777,EIXO SIMPLES,1,Pintura,,,CINZA,
031780,CHASSI FA4 SS FIXO (M20),1,Montagem,30,031780,CHASSI,1,Pintura,Solda,,CINZA,
031860,Gigante Uva,1,Montagem,30,031860,LATERAL,1,Pintura,,,COLORIDO,
031870,Base Móvel Para Ensiladeira,2,Montagem,30,031870,IÇAMENTO,1,,,,,
031905,Suporte do Gigante [FA2 M21],1,Montagem,30,031905,LATERAL,1,Pintura,,,COLORIDO,
032070,"CHASSI SIMPLES SC M19 - CBH6,0T 7M³",1,Montagem,30,032070,CHASSI,1,Pintura,Solda,,CINZA,
032360,"CBH 5,0 - U.G",1,Montagem,30,032360,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032361,"CBH 5,0 - A.L",1,Montagem,30,032361,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032363,FUEIRINHO LD M21,1,Montagem,30,032363,FUEIRO,1,Pintura,,,,
032364,FUEIRINHO LE M21,1,Montagem,30,032364,FUEIRO,1,Pintura,,,,
032366,Traseira CBH U.G,1,Montagem,30,032366,LATERAL,1,Pintura,,,COLORIDO,
032390,"CBH7,0 - U.G - 01 Eixo",1,Montagem,30,032390,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032470,"Chassi da CBH5,0 M21",1,Montagem,30,032470,PLAT. TANQUE. CAÇAM.,1,,,,,
032471,PLATAFORMA UVA M21,1,Montagem,30,032471,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
032620,CHASSI 6000 SS [CBH6 M22],1,Montagem,30,032530,CHASSI,1,,Solda,,,
032531,CHASSI DA CAÇAMBA [CBH6 M22],1,Montagem,30,032531,PLAT. TANQUE. CAÇAM.,1,,,,,
032545,CENOURA,1,Montagem,30,032545,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
